Accession;Taxid;Species;Order;Status
GCA_024137745.1;108790;Phymastichus coffea;Hymenoptera;0
GCA_000349025.1;112268;Anopheles minimus;Diptera;0
GCA_002091845.1;123217;Anopheles cracens;Diptera;0
GCA_018237905.1;124389;Curetis bulis;Lepidoptera;0
GCA_018230685.1;124411;Limenitis arthemis;Lepidoptera;0
GCA_008963455.1;124412;Hypolimnas misippus;Lepidoptera;0
GCA_024139115.1;124917;Armigeres subalbatus;Diptera;0
GCA_025231255.1;125945;Drosophila biarmipes;Diptera;0
GCA_022323205.1;127344;Junonia iphita;Lepidoptera;0
GCA_016746245.2;129105;Drosophila santomea;Diptera;0
GCA_912999735.1;129397;Aporia crataegi;Lepidoptera;0
GCA_018247935.1;129452;Trogonoptera brookiana;Lepidoptera;0
GCA_932527175.1;104452;Operophtera brumata;Lepidoptera;0
GCA_914767795.1;104476;Agriopis aurantiaria;Lepidoptera;0
GCA_018901835.1;106258;Scaptomyza graminum;Diptera;0
GCA_905404195.1;104474;Erannis defoliaria;Lepidoptera;0
GCA_932527185.1;104457;Ecliptopera silaceata;Lepidoptera;0
GCA_912999785.1;104460;Hydriomena furcata;Lepidoptera;0
GCA_021035045.1;104690;Bactrocera minax;Diptera;0
GCA_946251855.1;104486;Alsophila aescularia;Lepidoptera;0
GCA_001188975.4;104688;Bactrocera oleae;Diptera;0
GCA_018905735.1;137355;Drosophila burlai;Diptera;0
GCA_905332955.1;138070;Lysandra bellargus;Lepidoptera;0
GCA_905404105.1;189913;Leptidea sinapis;Lepidoptera;0
GCA_018874595.1;137354;Drosophila barbarae;Diptera;0
GCA_943734705.1;139045;Anopheles coustani;Diptera;0
GCA_943735745.1;139047;Anopheles bellator;Diptera;0
GCA_004143905.1;189258;Drosophila micromelanica;Diptera;0
GCA_002237135.4;139649;Teleopsis dalmanni;Diptera;0
GCA_018237925.1;189912;Leptidea reali;Lepidoptera;0
GCA_018874675.1;137353;Drosophila baimaii;Diptera;0
GCA_008042515.1;137078;Drosophila truncata;Diptera;0
GCA_014825875.1;130704;Bombus ignitus;Hymenoptera;0
GCA_014737335.1;130708;Bombus polaris;Hymenoptera;0
GCA_000188095.4;132113;Bombus impatiens;Hymenoptera;0
GCA_018248095.1;132695;Baronia brevicornis;Lepidoptera;0
GCA_900068475.1;171913;Heliconius hierax;Lepidoptera;0
GCA_900068205.1;171915;Heliconiuscydno;Lepidoptera;0
GCA_900068665.1;171916;Heliconiusmelpomene;Lepidoptera;0
GCA_024741315.1;178769;Eurosta solidaginis;Diptera;0
GCA_000313835.2;171917;Heliconiusmelpomene;Lepidoptera;0
GCA_900002565.1;179676;Culicoides sonorensis;Diptera;0
GCA_018252495.1;157372;Graphium evemon;Lepidoptera;0
GCA_018246355.1;157461;Teinopalpus imperialis;Lepidoptera;0
GCA_023838395.1;156328;Holcopasites calliopsidis;Hymenoptera;0
GCA_008042555.1;132243;Drosophila vulcana;Diptera;0
GCA_018247975.1;132705;Parides photinus;Lepidoptera;0
GCA_004959915.1;151541;Danaus chrysippus;Lepidoptera;0
GCA_018236485.1;155166;Plebejus idas;Lepidoptera;0
GCA_018907045.1;150944;Wiebesia pumilae;Hymenoptera;0
GCA_010645115.1;148810;Tetragonula carbonaria;Hymenoptera;0
GCA_943734785.1;186751;Anopheles moucheti;Diptera;0
GCA_022537945.1;144245;Dinocampus coccinellae;Hymenoptera;0
GCA_001652005.1;156304;Ceratina calcarata;Hymenoptera;0
GCA_018904285.1;140570;Lordiphosa magnipectinata;Diptera;0
GCA_000220905.1;143995;Megachile rotundata;Hymenoptera;0
GCA_018236845.1;155167;Plebejus melissa;Lepidoptera;0
GCA_010014985.2;152616;Delias pasithoe;Lepidoptera;0
GCA_000187915.1;144034;Pogonomyrmex barbatus;Hymenoptera;0
GCA_024349325.1;144036;Pogonomyrmex californicus;Hymenoptera;0
GCA_018905695.1;154833;Drosophila chauvacae;Diptera;0
GCA_000473375.1;139723;Anopheles culicifacies;Diptera;0
GCA_020829145.1;133975;Drosophila nigrodunni;Diptera;0
GCA_008042795.1;154832;Drosophila asahinai;Diptera;0
GCA_018152125.1;133979;Drosophila dunni;Diptera;0
GCA_018903735.1;133981;Drosophila cardini;Diptera;0
GCA_008042535.1;137070;Drosophila tani;Diptera;0
GCA_008042475.1;137072;Drosophila kanapiae;Diptera;0
GCA_008042485.1;137074;Drosophila mayri;Diptera;0
GCA_018904745.1;137076;Drosophila orosa;Diptera;0
GCA_018904695.1;137077;Drosophila parvula;Diptera;0
GCA_001015235.1;139677;Sphyracephala brevicornis;Diptera;0
GCA_019453415.1;175328;Exoneura robusta;Hymenoptera;0
GCA_025727935.1;152600;Hebomoia glaucippe;Lepidoptera;0
GCA_005406025.1;151549;Eumeta japonica;Lepidoptera;0
GCA_005889595.1;154130;Drosophila neonasuta;Diptera;0
GCA_018249775.1;171912;Heliconiushecalesia;Lepidoptera;0
GCA_905220355.1;171605;Vanessa cardui;Lepidoptera;0
GCA_018246195.1;95593;Ornithoptera priamus;Lepidoptera;0
GCA_946894085.1;101737;Incurvaria masculella;Lepidoptera;0
GCA_002290385.1;94128;Apiscerana;Hymenoptera;0
GCA_018907185.1;130029;Platyscapa corneri;Hymenoptera;0
GCA_017309665.1;169498;Coelopa frigida;Diptera;0
GCA_025532165.1;168615;Camponotus vicinus;Hymenoptera;0
GCA_014066325.1;183418;Apis laboriosa;Hymenoptera;0
GCA_902850365.2;168631;Chilo suppressalis;Lepidoptera;0
GCA_000005575.1;180454;Anophelesgambiae;Diptera;0
GCA_018231765.1;166451;Danaus erippus;Lepidoptera;0
GCA_014737455.1;130686;Bombus consobrinus;Hymenoptera;0
GCA_001014335.1;170625;Coboldia fuscipes;Diptera;0
GCA_018150835.1;170952;Drosophila repletoides;Diptera;0
GCA_905147045.1;171585;Nymphalis io;Lepidoptera;0
GCA_024586455.2;98809;Bactrocera neohumeralis;Diptera;0
GCA_018245475.1;95577;Pharmacophagus antenor;Lepidoptera;0
GCA_018904275.1;93397;Lordiphosa clarofinis;Diptera;0
GCA_018904265.1;93398;Lordiphosa collinella;Diptera;0
GCA_018904235.1;93405;Lordiphosa stackelbergi;Diptera;0
GCA_004193835.1;93504;Ostrinia furnacalis;Lepidoptera;0
GCA_018247995.1;93715;Parnassius smintheus;Lepidoptera;0
GCA_008042575.1;94109;Drosophila watanabei;Diptera;0
GCA_018874455.1;94110;Drosophila trapezifrons;Diptera;0
GCA_947086385.1;94469;Phlebotomus argentipes;Diptera;0
GCA_018247655.1;95568;Euryades corethrus;Lepidoptera;0
GCA_018248155.1;95570;Cressida cressida;Lepidoptera;0
GCA_905220585.2;171594;Nymphalis polychloros;Lepidoptera;0
Torymus sinensis;169553;Torymus sinensis;Hymenoptera;0
GCA_001276565.1;166423;Melipona quadrifasciata;Hymenoptera;0
GCA_001272555.1;178035;Dufourea novaeangliae;Hymenoptera;0
GCA_900068515.1;171918;Heliconiusmelpomene;Lepidoptera;0
GCA_946477585.1;173985;Cheilosia urbana;Diptera;0
GCA_001853355.1;174628;Bactrocera latifrons;Diptera;0
GCA_002192655.2;174822;Mamestra configurata;Lepidoptera;0
GCA_943737935.1;185578;Anopheles nili;Diptera;0
GCA_018231785.1;166024;Danaus gilippus;Lepidoptera;0
GCA_014737365.1;184059;Bombus soroeensis;Hymenoptera;0
GCA_018246075.1;157393;Lamproptera meges;Lepidoptera;0
GCA_018153455.1;186283;Drosophila parabipectinata;Diptera;0
GCA_019453355.1;175324;Ceratina japonica;Hymenoptera;0
GCA_016254315.1;162637;Anopheles parensis;Diptera;0
GCA_018231745.1;165861;Danaus eresimus;Lepidoptera;0
GCA_010014825.1;165858;Danaus melanippus;Lepidoptera;0
GCA_018901885.1;184074;Zaprionus kolodkinae;Diptera;0
GCA_018248595.1;328870;Trapezites symmomus;Lepidoptera;0
GCA_018237865.1;328887;Styx infernalis;Lepidoptera;0
GCA_011952255.1;207650;Bombus vosnesenskii;Hymenoptera;0
GCA_011421695.1;208481;Diadegma semiclausum;Hymenoptera;0
GCA_009859135.1;208979;Formica selysi;Hymenoptera;0
GCA_000341935.2;211228;Cephus cinctus;Hymenoptera;0
GCA_020341155.1;213866;Eciton burchellii;Hymenoptera;0
GCA_018248195.1;213896;Archon apollinus;Lepidoptera;0
GCA_018247875.1;213903;Hypermnestrahelios;Lepidoptera;0
GCA_018246155.1;213957;Parnassius orleans;Lepidoptera;0
GCA_018247855.1;202798;Graphium androcles;Lepidoptera;0
GCA_000671735.1;201502;Glossinafuscipes;Diptera;0
GCA_013841205.1;200407;Apismellifera;Hymenoptera;0
GCA_911728515.1;190356;Peribatodes rhomboidaria;Lepidoptera;0
GCA_905231865.2;191398;Boloria selene;Lepidoptera;0
GCA_905333055.1;191418;Maniola jurtina;Lepidoptera;0
GCA_017165845.1;208016;Thaumetopoea pityocampa;Lepidoptera;0
GCA_014825975.1;207636;Bombus haemorrhoidalis;Hymenoptera;0
GCA_905333015.3;207624;Bombus campestris;Hymenoptera;0
GCA_905220515.1;268709;Lysandra coridon;Lepidoptera;0
GCA_905147385.1;270466;Limenitis camilla;Lepidoptera;0
GCA_010645135.1;270525;Tetragonula clypearis;Hymenoptera;0
GCA_010645185.1;270528;Tetragonula hockingsi;Hymenoptera;0
GCA_011634685.1;270529;Tetragonula mellipes;Hymenoptera;0
GCA_009176525.2;265458;Contarinia nasturtii;Diptera;0
GCA_017933935.1;236805;Sesamia nonagrioides;Lepidoptera;0
GCA_007844875.1;236788;Busseola fusca;Lepidoptera;0
GCA_009867175.1;233158;Adela reaumurella;Lepidoptera;0
GCA_912470025.1;202808;Vespa velutina;Hymenoptera;0
GCA_905187575.1;203782;Celastrina argiolus;Lepidoptera;0
GCA_001014815.1;204567;Chaoborus trivitattus;Diptera;0
GCA_018247895.1;214010;Parnassius honrathi;Lepidoptera;0
GCA_946409105.1;287200;Apoda limacodes;Lepidoptera;0
GCA_907269105.1;226151;Volucella inanis;Diptera;0
GCA_932526435.1;226161;Rhingia campestris;Diptera;0
GCA_905404175.1;227532;Anthocharis cardamines;Lepidoptera;0
GCA_017607565.1;230685;Acromyrmex heyeri;Hymenoptera;0
GCA_017607455.1;230686;Acromyrmex insinuator;Hymenoptera;0
GCA_933228735.1;231887;Amblyteles armatorius;Hymenoptera;0
GCA_024516115.1;233155;Culexpipiens;Diptera;0
GCA_943735985.1;287197;Sesia bembeciformis;Lepidoptera;0
GCA_943736035.1;222778;Tenthredo mesomela;Hymenoptera;0
GCA_011636605.1;219812;Tetramorium bicarinatum;Hymenoptera;0
GCA_932526445.1;214311;Phragmatobia fuliginosa;Lepidoptera;0
GCA_014737475.1;217217;Bombus confusus;Hymenoptera;0
GCA_000612105.2;222816;Orussus abietinus;Hymenoptera;0
GCA_928272175.1;226149;Volucella inflata;Diptera;0
GCA_022674325.1;192188;Grapholita molesta;Lepidoptera;0
GCA_021223935.1;193234;Drosophila pseudotakahashii;Diptera;0
GCA_018153235.1;195057;Drosophilamalerkotliana;Diptera;0
GCA_018230405.1;196493;Heliconius hortense;Lepidoptera;0
GCA_001014935.1;198433;Liriomyza trifolii;Diptera;0
GCA_004354385.2;198719;Drosophila innubila;Diptera;0
GCA_000349105.1;199890;Anopheles epiroticus;Diptera;0
GCA_024500475.1;192464;Phthorimaea operculella;Lepidoptera;0
GCA_905220335.1;214277;Noctua pronuba;Lepidoptera;0
GCA_018904025.1;223247;Zaprionus vittiger;Diptera;0
GCA_932274085.1;226133;Protocalliphora azurea;Diptera;0
GCA_946965025.1;226147;Blera fallax;Diptera;0
GCA_018236805.1;268707;Plebejus anna;Lepidoptera;0
GCA_900068305.1;265454;Heliconiuscydno;Lepidoptera;0
GCA_946251915.1;254365;Abrostola triplasia;Lepidoptera;0
GCA_900068655.1;248314;Heliconiusmelpomene;Lepidoptera;0
GCA_900068255.1;249251;Heliconiuscydno;Lepidoptera;0
GCA_014607495.2;252295;Carposina sasakii;Lepidoptera;0
GCA_916610135.2;253715;Macropis europaea;Hymenoptera;0
GCA_001486045.1;248311;Heliconiusmelpomene;Lepidoptera;0
GCA_936440885.2;236850;Sarcophaga subvicina;Diptera;0
GCA_932273835.1;236851;Sarcophaga variegata;Diptera;0
GCA_012273795.1;238572;Dendrolimus punctatus;Lepidoptera;0
GCA_916610205.1;1101106;Griposia aprilina;Lepidoptera;0
GCA_021223745.1;244254;Drosophila bunnanda;Diptera;0
GCA_905146925.1;254363;Autographa gamma;Lepidoptera;0
GCA_900068565.1;248313;Heliconiusmelpomene;Lepidoptera;0
GCA_018902025.2;7260;Drosophila willistoni;Diptera;0
GCA_008121275.1;7251;Drosophila lowei;Diptera;0
GCA_900068505.1;248312;Heliconiusmelpomene;Lepidoptera;0
GCA_900490025.1;246452;Megastigmus dorsalis;Hymenoptera;0
GCA_900068675.1;248309;Heliconiusmelpomene;Lepidoptera;0
GCA_001510935.1;248310;Heliconiusmelpomene;Lepidoptera;0
GCA_023078775.1;283855;Hyles euphorbiae;Lepidoptera;0
GCA_018904095.1;284540;Zaprionus ghesquierei;Diptera;0
GCA_019399895.1;286306;Cardiocondyla obscurior;Hymenoptera;0
GCA_945859705.1;286459;Episyrphus balteatus;Diptera;0
GCA_911387775.1;272628;Thymelicus sylvestris;Lepidoptera;0
Anagyrus pseudococci;272197;Anagyrus pseudococci;Hymenoptera;0
GCA_020882275.1;271217;Mythimna separata;Lepidoptera;0
GCA_900475205.1;261815;Eurytoma brunniventris;Hymenoptera;0
GCA_021018905.1;263140;Sitodiplosis mosellana;Diptera;0
GCA_934045075.1;263933;Yponomeuta sedellus;Lepidoptera;0
GCA_937595015.1;265386;Polyommatus icarus;Lepidoptera;0
GCA_009982885.2;283848;Hyles vespertilio;Lepidoptera;0
GCA_905333065.1;282391;Lycaena phlaeas;Lepidoptera;0
GCA_020383195.1;245865;Neomicropteryx cornuta;Lepidoptera;0
GCA_936431705.1;273407;Cheilosia pagana;Diptera;0
GCA_916610125.1;273409;Cheilosia vulpina;Diptera;0
GCA_009731565.1;278856;Danausplexippus;Lepidoptera;0
GCA_018248475.1;218706;Parnara guttata;Lepidoptera;0
GCA_944567765.1;218720;Carterocephalus palaemon;Lepidoptera;0
GCA_000980195.3;307658;Monomorium pharaonis;Hymenoptera;0
GCA_021223985.1;309927;Zaprionus bogoriensis;Diptera;0
GCA_024516045.2;309941;Bombus affinis;Hymenoptera;0
GCA_014737485.1;309970;Bombus picipes;Hymenoptera;0
GCA_019677175.1;309975;Bombus sylvicola;Hymenoptera;0
GCA_900480035.1;310279;Eupelmus urozonus;Hymenoptera;0
GCA_900474355.1;310282;Torymus geranii;Hymenoptera;0
GCA_013403705.1;310794;Heliconius hermathena;Lepidoptera;0
GCA_013403645.1;310795;Heliconius nattereri;Lepidoptera;0
GCA_900068715.1;310797;Heliconiusnumata;Lepidoptera;0
GCA_018230425.1;311033;Junonia oenone;Lepidoptera;0
GCA_900490015.1;311874;Megastigmus stigmatizans;Hymenoptera;0
GCA_018904815.1;307244;Drosophila ogumai;Diptera;0
GCA_018905755.1;307242;Drosophila ohnishii;Diptera;0
GCA_910589565.1;301037;Bembecia ichneumoniformis;Lepidoptera;0
GCA_018249535.1;355132;Salatis canalis;Lepidoptera;0
GCA_018250295.1;355148;Spathilepia clonius;Lepidoptera;0
GCA_018248355.1;355167;Telemiades fides;Lepidoptera;0
GCA_018250495.1;355192;Typhedanus ampyx;Lepidoptera;0
GCA_018248415.1;355098;Proteides mercurius;Lepidoptera;0
GCA_018250275.1;355195;Udranomia eurus;Lepidoptera;0
GCA_018247775.1;355197;Udranomia orcinus;Lepidoptera;0
GCA_018251975.1;355203;Urbanus esmeraldus;Lepidoptera;0
GCA_018251935.1;355205;Urbanus evona;Lepidoptera;0
GCA_018251155.1;355219;Venada nevada;Lepidoptera;0
GCA_018239045.1;355232;Yanguna cosyra;Lepidoptera;0
GCA_018251215.1;355280;Ridens mephitis;Lepidoptera;0
GCA_018906965.1;358065;Philotrypesis tridentata;Hymenoptera;0
GCA_008042775.1;359927;Drosophila pectinifera;Diptera;0
GCA_018250225.1;355196;Udranomia kikkawai;Lepidoptera;0
GCA_900490065.1;351381;Neuroterus quercusbaccarum;Hymenoptera;0
GCA_018248175.1;349371;Bhutanitis pulchristriata;Lepidoptera;0
GCA_934870175.1;348720;Parargeaegeria;Lepidoptera;0
GCA_907165265.2;287375;Zygaena filipendulae;Lepidoptera;0
GCA_945859685.1;290404;Eupeodes corollae;Diptera;0
GCA_905404135.1;291688;Hesperia comma;Lepidoptera;0
GCA_932074545.1;330977;Andricus pictus;Hymenoptera;0
GCA_918358695.1;331302;Melinaeamenophilus;Lepidoptera;0
GCA_918358865.1;331333;Melinaeamarsaeus;Lepidoptera;0
GCA_900474325.1;331713;Synergus umbraculus;Hymenoptera;0
GCA_018237065.1;328888;Emesis mandana;Lepidoptera;0
GCA_002938995.1;334116;Vanessa tameamea;Lepidoptera;0
GCA_917414775.1;335469;Orgyia antiqua;Lepidoptera;0
GCA_905115235.1;343691;Hermetia illucens;Diptera;0
GCA_943734765.1;345580;Anopheles ziemanni;Diptera;0
GCA_905332375.1;345717;Pieris macdunnoughi;Lepidoptera;0
GCA_000819425.1;346610;Apismellifera;Hymenoptera;0
GCA_944319705.1;330862;Tiphia femorata;Hymenoptera;0
GCA_018153145.1;296643;Drosophilapseudoananassae;Diptera;0
GCA_014839585.1;292152;Pseudomyrmex concolor;Hymenoptera;0
GCA_014825685.1;292154;Pseudomyrmex cubaensis;Hymenoptera;0
GCA_014825645.1;292155;Pseudomyrmex dendroicus;Hymenoptera;0
GCA_001017535.1;312236;Tipula oleracea;Diptera;0
GCA_014825475.1;292159;Pseudomyrmex flavicornis;Hymenoptera;0
GCA_002217905.1;292787;Apiscerana;Hymenoptera;0
GCA_018153275.1;296644;Drosophilamalerkotliana;Diptera;0
GCA_000775305.1;315563;Belgica antarctica;Diptera;0
GCA_018248135.1;299009;Battus belus;Lepidoptera;0
GCA_003070985.1;300111;Temnothorax curvispinosus;Hymenoptera;0
GCA_004794745.1;300112;Temnothorax longispinosus;Hymenoptera;0
GCA_945859745.1;301036;Synanthedon formicaeformis;Lepidoptera;0
GCA_001014575.1;292402;Themira minor;Diptera;0
GCA_018150935.1;312270;Drosophila pruinosa;Diptera;0
GCA_018250835.1;355145;Sostratabifasciata;Lepidoptera;0
GCA_018252155.1;355106;Quadrus cerialis;Lepidoptera;0
GCA_018244755.1;354958;Jemadia pseudognetus;Lepidoptera;0
GCA_018251755.1;354984;Morvina fissimacula;Lepidoptera;0
GCA_018250875.1;354987;Mylon lassia;Lepidoptera;0
GCA_018251095.1;355007;Pseudonascus paulliniae;Lepidoptera;0
GCA_018231305.1;355021;Noctuana lactifera;Lepidoptera;0
GCA_018252355.1;355032;Ouleus salvina;Lepidoptera;0
GCA_018239365.1;355034;Oxynetra hopfferi;Lepidoptera;0
GCA_018245755.1;355046;Parelbella macleannani;Lepidoptera;0
GCA_018249975.1;355051;Passova gellias;Lepidoptera;0
GCA_018231365.1;355053;Pellicia arina;Lepidoptera;0
GCA_018250995.1;354918;Ebrietas anacreon;Lepidoptera;0
GCA_018249995.1;354915;Dyscophellus porcius;Lepidoptera;0
GCA_018251635.1;354907;Drephalys kidonoi;Lepidoptera;0
GCA_018250115.1;354903;Doberes anticus;Lepidoptera;0
GCA_018250755.1;354765;Anastrus sempiternus;Lepidoptera;0
GCA_018250635.1;354786;Astraptes apastus;Lepidoptera;0
GCA_018252015.1;354788;Astraptes brevicauda;Lepidoptera;0
GCA_018252115.1;354973;Milanion marciana;Lepidoptera;0
GCA_018250775.1;354953;Helias cama;Lepidoptera;0
GCA_018252455.1;355103;Pythonides amaryllis;Lepidoptera;0
GCA_018251695.1;354951;Grais stigmaticus;Lepidoptera;0
GCA_018248235.1;218724;Choaspes benjaminii;Lepidoptera;0
GCA_018247075.1;218732;Hasora chromus;Lepidoptera;0
GCA_911387765.1;218760;Pyrgus malvae;Lepidoptera;0
GCA_016069955.1;219515;Drepana arcuata;Lepidoptera;0
GCA_905146935.1;219539;Scaeva pyrastri;Diptera;0
GCA_002006095.1;219809;Pseudomyrmex gracilis;Hymenoptera;0
GCA_018245195.1;218731;Hasorabadra;Lepidoptera;0
GCA_018248675.1;354944;Gesta gesta;Lepidoptera;0
GCA_018252435.1;354946;Gindanes brontinus;Lepidoptera;0
GCA_018250975.1;354948;Gorgythion begga;Lepidoptera;0
GCA_018250335.1;354792;Astraptes enotrus;Lepidoptera;0
GCA_018250695.1;354793;Astraptes hopfferi;Lepidoptera;0
GCA_018250735.1;354796;Astraptes talus;Lepidoptera;0
GCA_018252395.1;354799;Atarnes sallei;Lepidoptera;0
GCA_905220405.1;374264;Xylota sylvarum;Diptera;0
GCA_023373885.1;378390;Hestina assimilis;Lepidoptera;0
GCA_018150725.1;387621;Drosophila quadrilineata;Diptera;0
GCA_903986555.1;395501;Heterotrigona itama;Hymenoptera;0
GCA_014825925.1;395515;Bombus breviceps;Hymenoptera;0
GCA_014737525.1;395520;Bombus difficillimus;Hymenoptera;0
GCA_014737355.1;395565;Bombus skorikovi;Hymenoptera;0
GCA_014737395.1;395577;Bombus waltoni;Hymenoptera;0
GCA_014825855.1;396416;Bombus pyrosoma;Hymenoptera;0
GCA_947093115.1;405032;Brenthis daphne;Lepidoptera;0
GCA_015832385.1;366056;Elymnias hypermnestra;Lepidoptera;0
GCA_914767975.1;362091;Tenthredo notha;Hymenoptera;0
GCA_021155765.1;362088;Diprion similis;Hymenoptera;0
GCA_018245775.1;355101;Pyrrhopyge zenodorus;Lepidoptera;0
GCA_018246135.1;371877;Hypermnestrahelios;Lepidoptera;0
GCA_018248115.1;371869;Allancastriacerisyi;Lepidoptera;0
GCA_018251115.1;354867;Codatractus alcaeus;Lepidoptera;0
GCA_018249355.1;354804;Autochton longipennis;Lepidoptera;0
GCA_018247175.1;355081;Polyctor polyctor;Lepidoptera;0
GCA_018249315.1;354805;Autochton zarex;Lepidoptera;0
GCA_018251035.1;354820;Camptopleura auxo;Lepidoptera;0
GCA_018248895.1;354836;Carystus phorcus;Lepidoptera;0
GCA_018251135.1;354846;Cephise aelius;Lepidoptera;0
GCA_018248655.1;354853;Chiomara georgina;Lepidoptera;0
GCA_018248975.1;354868;Codatractus imalena;Lepidoptera;0
GCA_947095565.1;369887;Poecilobothrus nobilitatus;Diptera;0
GCA_018251175.1;354881;Cycloglypha thrasibulus;Lepidoptera;0
GCA_018248255.1;354901;Dardarina dardaris;Lepidoptera;0
GCA_018249455.1;354809;Bungalotis erythus;Lepidoptera;0
GCA_018251775.1;354750;Eantis pallida;Lepidoptera;0
GCA_018250515.1;355084;Polygonus savigny;Lepidoptera;0
GCA_018247035.1;355100;Pyrrhopyge crida;Lepidoptera;0
GCA_001015335.1;35570;Stomoxys calcitrans;Diptera;0
GCA_018903425.1;429042;Zaprionus nigranus;Diptera;0
GCA_910595825.1;414876;Xanthogramma pedissequum;Diptera;0
GCA_014737505.1;421273;Bombus sibiricus;Hymenoptera;0
GCA_930367265.1;423510;Catocala fraxini;Lepidoptera;0
GCA_018904165.1;428973;Zaprionus camerounensis;Diptera;0
GCA_018903715.1;428974;Zaprionus davidi;Diptera;0
GCA_018247375.1;2943159;Ortholexis melichroptera;Lepidoptera;0
GCA_018901815.1;429041;Zaprionus lachaisei;Diptera;0
GCA_920937365.1;414861;Sphaerophoria rueppellii;Diptera;0
GCA_001594065.1;456900;Cyphomyrmex costatus;Hymenoptera;0
GCA_018232405.1;460130;Junonia genoveva;Lepidoptera;0
GCA_003063745.1;500656;Aphaenogaster rudis;Hymenoptera;0
GCA_018251295.1;509293;Aethilla lavochrea;Lepidoptera;0
GCA_018231325.1;509358;Carcharodus alceae;Lepidoptera;0
GCA_018251435.1;509368;Copaeodes aurantiaca;Lepidoptera;0
GCA_913698315.1;454923;Diachasma alloeum;Hymenoptera;0
GCA_916050315.1;414846;Platycheirus albimanus;Diptera;0
GCA_018250915.1;509477;Signeta flammeata;Lepidoptera;0
GCA_910592125.1;444401;Andrena haemorrhoa;Hymenoptera;0
GCA_018151435.1;447232;Zaprionus africanus;Diptera;0
GCA_018903695.1;447233;Zaprionus gabonicus;Diptera;0
GCA_923060345.2;447833;Erebia aethiops;Lepidoptera;0
GCA_019455685.1;450213;Philornis downsi;Diptera;0
GCA_900474275.1;452695;Synergus japonicus;Hymenoptera;0
GCA_023089585.1;452749;Melophagus ovinus;Diptera;0
GCA_014851415.1;437488;Cnaphalocrocis medinalis;Lepidoptera;0
GCA_022376115.1;434251;Lasioglossum baleicum;Hymenoptera;0
GCA_018151455.1;429045;Zaprionus tsacasi;Diptera;0
GCA_016170015.1;412009;Anopheles longipalpis;Diptera;0
GCA_946251815.1;414801;Dasysyrphus albostriatus;Diptera;0
GCA_947049305.1;414814;Epistrophella euchroma;Diptera;0
GCA_018251835.1;509445;Orses cynisca;Lepidoptera;0
GCA_018232345.1;509483;Spialia sertorius;Lepidoptera;0
GCA_011636635.1;443853;Tetramorium simillimum;Hymenoptera;0
GCA_018906985.1;490712;Apocrypta bakeri;Hymenoptera;0
GCA_006980735.1;468822;Dasypogon diadema;Diptera;0
GCA_001594075.2;471704;Trachymyrmex cornetzi;Hymenoptera;0
GCA_012274295.1;473952;Osmia lignaria;Hymenoptera;0
GCA_019453375.1;481568;Ctenoplectra terminalis;Hymenoptera;0
GCA_945859595.2;481575;Megachile willughbiella;Hymenoptera;0
GCA_010583005.1;486640;Odontomachus brunneus;Hymenoptera;0
GCA_018251795.1;489932;Perichares adela;Lepidoptera;0
GCA_018257835.1;469982;Euura lappo;Hymenoptera;0
GCA_916618085.2;467774;Emmelina monodactyla;Lepidoptera;0
GCA_910595045.1;987877;Amphipyra berbera;Lepidoptera;0
GCA_004115105.1;690910;Lymantriadispar;Lepidoptera;0
GCA_001278395.1;691651;Lerema accius;Lepidoptera;0
GCA_943735965.1;934840;Eupithecia abbreviata;Lepidoptera;0
GCA_944547425.1;934844;Eupithecia centaureata;Lepidoptera;0
GCA_947044255.1;934845;Eupithecia dodoneata;Lepidoptera;0
GCA_004149445.1;499227;Drosophila nigromelanica;Diptera;0
GCA_905332985.1;522848;Mimas tiliae;Lepidoptera;0
GCA_018251195.1;509503;Timochares trifasciata;Lepidoptera;0
GCA_001483705.1;516756;Eufriesea mexicana;Hymenoptera;0
GCA_018252175.1;519490;Cyclargus thomasi;Lepidoptera;0
GCA_001594045.1;520822;Atta colombica;Hymenoptera;0
GCA_905147235.1;520884;Erynnis tages;Lepidoptera;0
GCA_905220505.1;522836;Laothoe populi;Lepidoptera;0
GCA_018248435.1;509524;Zopyrion sandace;Lepidoptera;0
GCA_024757885.1;464719;Apantesis nais;Lepidoptera;0
GCA_903961255.1;689277;Chrysodeixis includens;Lepidoptera;0
GCA_004480015.1;493209;Atta texana;Hymenoptera;0
GCA_018232265.1;460134;Junonia villida;Lepidoptera;0
GCA_013357705.1;460826;Chelonus insularis;Hymenoptera;0
GCA_001014415.1;462259;Phortica variegata;Diptera;0
GCA_025490895.1;463830;Thaumatotibia leucotreta;Lepidoptera;0
GCA_004916985.1;441929;Neodiprion pinetum;Hymenoptera;0
GCA_900068775.1;573617;Heliconiustimareta;Lepidoptera;0
GCA_916610175.2;569046;Gymnosoma rotundatum;Diptera;0
GCA_011392965.1;561572;Frieseomelitta varia;Hymenoptera;0
GCA_907165295.1;601510;Nomada fabriciana;Hymenoptera;0
GCA_947095595.1;566305;Nephrocerus scutellatus;Diptera;0
GCA_900005825.1;568069;Clunio marinus;Diptera;0
GCA_932526305.1;569040;Epicampocera succincta;Diptera;0
GCA_001486265.1;573616;Heliconiustimareta;Lepidoptera;0
Leptomastidea abnormis;559134;Leptomastidea abnormis;Hymenoptera;0
