Accession;Taxid;Species;Order;Status
GCA_018150905.1;7216;Drosophila ambigua;Diptera;0
GCA_009664405.1;7218;Drosophila bifasciata;Diptera;0
GCA_003286155.2;7220;Drosophila erecta;Diptera;0
GCA_003369915.2;7229;Drosophila miranda;Diptera;0
GCA_001014445.1;7225;Scaptodrosophila lebanonensis;Diptera;0
GCA_018904475.1;7226;Drosophila mauritiana;Diptera;0
GCA_000001215.4;7227;Drosophila melanogaster;Diptera;0
GCA_000005155.1;7222;Drosophila grimshawi;Diptera;0
GCA_018901825.1;7221;Drosophila funebris;Diptera;0
GCA_002780465.1;7224;Drosophila hydei;Diptera;0
GCA_018153725.1;7230;Drosophila mojavensis;Diptera;0
GCA_001654015.2;7232;Drosophila navojoa;Diptera;0
GCA_005876975.1;7233;Drosophila orena;Diptera;0
GCA_009193385.2;7425;Nasonia vitripennis;Hymenoptera;0
GCA_007989325.2;7244;Drosophila virilis;Diptera;0
GCA_000180935.1;7240;Drosophila simulans;Diptera;0
GCA_018904455.1;7237;Drosophila pseudoobscura;Diptera;0
GCA_004382195.2;7238;Drosophila sechellia;Diptera;0
GCA_018903635.1;7243;Drosophila teissieri;Diptera;0
GCA_000472105.1;28584;Drosophila suzukii;Diptera;0
GCA_942486075.2;27454;Calliphora vomitoria;Diptera;0
GCA_018152265.1;30025;Drosophila ficusphila;Diptera;0
GCA_001187945.1;7375;Lucilia cuprina;Diptera;0
GCA_008121235.1;7241;Drosophila subobscura;Diptera;0
GCA_003123925.1;7368;Haematobia irritans;Diptera;0
GCA_014843735.1;7370;Musca domestica;Diptera;0
GCA_001017275.1;7373;Calliphora vicina;Diptera;0
GCA_016746445.1;7291;Drosophila albomicans;Diptera;0
GCA_024703675.1;7271;Drosophila nebulosa;Diptera;0
GCA_001654025.1;7263;Drosophila arizonae;Diptera;0
GCA_018904385.1;7245;Drosophila yakuba;Diptera;0
GCA_008121215.1;7248;Drosophila athabasca;Diptera;0
GCA_005876895.1;7249;Drosophila azteca;Diptera;0
GCA_018153375.1;7250;Drosophila immigrans;Diptera;0
GCA_900245975.1;7266;Drosophila guanche;Diptera;0
GCA_018152965.1;7300;Scaptomyza pallida;Diptera;0
GCA_002093755.1;7274;Drosophila serrata;Diptera;0
GCA_018151105.1;7282;Drosophila obscura;Diptera;0
GCA_018150885.1;7284;Drosophila tristis;Diptera;0
GCA_018904355.1;7289;Drosophila sproati;Diptera;0
GCA_018903575.1;7273;Drosophila saltans;Diptera;0
GCA_014083525.1;7446;Vespa mandarinia;Hymenoptera;0
GCA_025728115.1;7445;Vespa crabro;Hymenoptera;0
GCA_001735545.1;7380;Phormia regina;Diptera;0
GCA_005959815.1;7385;Sarcophaga bullata;Diptera;0
GCA_014635995.1;7386;Sarcophaga peregrina;Diptera;0
GCA_001014515.1;7394;Glossina morsitans;Diptera;0
GCA_000688735.1;7395;Glossina austeni;Diptera;0
GCA_014805625.1;7396;Glossina fuscipes;Diptera;0
GCA_022694865.1;13191;Pectinophora gossypiella;Lepidoptera;0
GCA_000688715.1;7398;Glossina pallidipes;Diptera;0
GCA_009394715.1;7421;Diadromus collaris;Hymenoptera;0
GCA_016647725.1;7426;Nasonia giraulti;Hymenoptera;0
GCA_000004795.1;7427;Nasonia longicornis;Hymenoptera;0
GCA_905475345.1;7454;Vespula vulgaris;Hymenoptera;0
GCA_023678865.1;27506;Polistes exclamans;Hymenoptera;0
GCA_003254395.2;7460;Apis mellifera;Hymenoptera;0
GCA_001442555.1;7461;Apis cerana;Hymenoptera;0
GCA_000469605.1;7462;Apis dorsata;Hymenoptera;0
GCA_000184785.2;7463;Apis florea;Hymenoptera;0
GCA_019321825.1;7469;Apismellifera;Hymenoptera;0
GCA_000599845.3;7493;Trichogramma pretiosum;Hymenoptera;0
GCA_000143395.3;12957;Atta cephalotes;Hymenoptera;0
GCA_018135715.1;13037;Danaus plexippus;Lepidoptera;0
GCA_016802235.1;13123;Lymantria dispar;Lepidoptera;0
GCA_918844115.2;13204;Phlebotomus perniciosus;Diptera;0
GCA_017165865.1;29058;Helicoverpa armigera;Lepidoptera;0
GCA_001687245.2;28612;Rhagoletis zephyria;Diptera;0
GCA_000806345.2;28588;Zeugodacus cucurbitae;Diptera;0
GCA_001014835.1;13632;Lucilia sericata;Diptera;0
GCA_016802725.1;13686;Solenopsis invicta;Hymenoptera;0
GCA_013731165.1;28610;Rhagoletis pomonella;Diptera;0
GCA_023373825.1;27457;Bactrocera dorsalis;Diptera;0
GCA_011057505.1;30023;Drosophila elegans;Diptera;0
GCA_001277935.1;30019;Drosophila busckii;Diptera;0
GCA_000262795.1;29031;Phlebotomus papatasi;Diptera;0
GCA_018252415.1;13577;Jalmenus evagoras;Lepidoptera;0
GCA_000236325.2;29029;Drosophila eugracilis;Diptera;0
GCA_018152695.1;29030;Drosophila takahashii;Diptera;0
GCA_000648655.2;29053;Copidosoma floridanum;Hymenoptera;0
GCA_008921685.1;29057;Ostrinia nubilalis;Lepidoptera;0
GCA_018151165.1;30017;Drosophila arawakana;Diptera;0
GCA_008044335.1;30018;Drosophila bakoue;Diptera;0
GCA_017562075.2;30066;Anopheles merus;Diptera;0
GCA_000956255.1;30068;Anopheles punctulatus;Diptera;0
GCA_013141755.1;30069;Anopheles stephensi;Diptera;0
GCA_018903675.1;30053;Zaprionus capensis;Diptera;0
GCA_012273895.2;33412;Zerene cesonia;Lepidoptera;0
GCA_001485905.1;33418;Heliconius ethilla;Lepidoptera;0
GCA_001485965.1;33427;Heliconius ismenius;Lepidoptera;0
GCA_900068735.1;33428;Heliconius pachinus;Lepidoptera;0
GCA_900068815.1;33429;Heliconius wallacei;Lepidoptera;0
GCA_018246395.1;33430;Heliconius atthis;Lepidoptera;0
GCA_018230625.1;33432;Heliconius eleuchia;Lepidoptera;0
GCA_018237945.1;33433;Heliconius sapho;Lepidoptera;0
GCA_024221835.1;33434;Heliconius charithonia;Lepidoptera;0
GCA_018230445.1;33426;Heliconius hewitsoni;Lepidoptera;0
GCA_018231645.1;33437;Heliconius ricini;Lepidoptera;0
GCA_000956275.1;30065;Anopheles koliensis;Diptera;0
GCA_900068825.1;33440;Heliconius xanthocles;Lepidoptera;0
GCA_021234595.1;30064;Delia radicum;Diptera;0
GCA_021223915.1;30033;Drosophila kikkawai;Diptera;0
GCA_018874475.1;30035;Drosophila malagassya;Diptera;0
GCA_018903615.1;30039;Drosophila neocordata;Diptera;0
GCA_018151275.1;30042;Drosophila prosaltans;Diptera;0
GCA_018903745.1;30043;Drosophila repleta;Diptera;0
GCA_021223945.1;30044;Drosophila rubida;Diptera;0
GCA_018150375.1;30047;Drosophila sturtevanti;Diptera;0
GCA_025266255.1;32421;Trissolcus basalis;Hymenoptera;0
GCA_018150405.1;30050;Drosophila varians;Diptera;0
GCA_018151445.1;30054;Zaprionus inermis;Diptera;0
GCA_018901805.1;30057;Zaprionus taronus;Diptera;0
GCA_018247715.1;33439;Heliconius burneyi;Lepidoptera;0
GCA_900068005.1;33441;Heliconius pardalinus;Lepidoptera;0
GCA_016802505.1;33419;Heliconius numata;Lepidoptera;0
GCA_018230605.1;33422;Heliconius congener;Lepidoptera;0
GCA_900067975.1;33423;Heliconius heurippa;Lepidoptera;0
GCA_900068425.1;33425;Heliconius hecale;Lepidoptera;0
GCA_016747895.2;42062;Drosophila nasuta;Diptera;0
GCA_000818775.1;67801;Glossinapalpalis;Diptera;0
GCA_943734635.1;68878;Anopheles cruzii;Diptera;0
GCA_000473445.2;69004;Anopheles farauti;Diptera;0
GCA_002706865.3;69820;Spodoptera litura;Lepidoptera;0
GCA_018908115.1;70327;Anopheles rivulorum;Diptera;0
GCA_905220415.1;72248;Colias croceus;Lepidoptera;0
GCA_018249835.1;33420;Heliconius besckei;Lepidoptera;0
GCA_021202915.1;33442;Heliconius himera;Lepidoptera;0
GCA_012977825.2;32389;Pteromalus puparum;Hymenoptera;0
GCA_014466175.1;30213;Vespula pensylvanica;Hymenoptera;0
GCA_905340295.1;30212;Vespula germanica;Hymenoptera;0
GCA_001594115.1;34720;Trachymyrmex septentrionalis;Hymenoptera;0
GCA_900068395.1;33444;Heliconius elevatus;Lepidoptera;0
GCA_018235265.1;39708;Junonia coenia;Lepidoptera;0
GCA_014843785.1;40085;Diatraea saccharalis;Lepidoptera;0
GCA_018152915.1;40366;Drosophila americana;Diptera;0
GCA_003086615.1;40370;Drosophila montana;Diptera;0
GCA_019972375.1;40372;Drosophilaamericana;Diptera;0
GCA_023375715.1;41375;Drosophila koepferae;Diptera;0
GCA_914969975.1;41427;Anopheles atroparvus;Diptera;0
GCA_018153845.1;42026;Drosophila bipectinata;Diptera;0
GCA_018238045.1;33457;Heliconius aoede;Lepidoptera;0
GCA_000349065.1;34691;Anopheles quadriannulatus;Diptera;0
GCA_000473525.2;34690;Anopheles melas;Diptera;0
GCA_014332785.1;34739;Antheraea mylitta;Lepidoptera;0
GCA_010416905.1;34729;Polistes dorsalis;Hymenoptera;0
GCA_018231685.1;33446;Heliconius clysonymus;Lepidoptera;0
GCA_019049475.1;33448;Eueides isabella;Lepidoptera;0
GCA_900068325.1;33455;Laparus doris;Lepidoptera;0
GCA_018904565.1;34677;Drosophila tsacasi;Diptera;0
